Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2024-05-21 03:18:19,40.171.145.98,211.30.156.213,12958,38006,FTP,1308,Control,Anomalous,When interesting continue door model.,False,0.53,False,Brute Force,4968d8a4482ff89f36b3831ae49b14b0e80aa80d,Quarantined,Low,Amanda Robinson,laptop-72.navarro.com,Segment B,Faroe Islands,True,None during kid before. Great likely join.,True,IDS
2024-02-26 03:05:29,74.180.68.74,198.60.57.234,22129,14554,SMTP,1312,Control,Normal,Education everything above quickly clear.,True,0.62,False,Ransomware,f204f819e3b5f80abc9a4b23cdbc6d87d788cb31,Blocked,Low,Tina Stevens,email-39.white.com,Segment B,Nicaragua,True,Compare source financial continue.,False,Router
2024-04-30 21:02:56,51.225.144.142,3.75.176.213,31638,21942,FTP,891,Request,Normal,Take do describe type raise.,False,0.86,True,Phishing,a8c2a7073899dff7adeedc3bdc2c95715ad76cb7,Flagged,Critical,Ricardo Browning,lt-24.johnson.net,Segment A,Timor-Leste,True,Four value scientist tend Republican.,True,Switch
2024-03-15 09:49:51,191.47.87.172,134.187.162.2,18163,31591,FTP,79,Error,Malicious,Training claim option we.,True,0.83,True,Ransomware,e6bd30d2227311b8419f3f663b9d5303ed1c5c98,Allowed,Medium,Tammy Robinson,desktop-99.underwood.com,Segment C,Guyana,False,Send sing wrong door international.,False,IPS
2024-01-23 14:31:52,70.253.82.43,83.21.149.188,27743,9991,TCP,591,Response,Malicious,Might fight learn board.,True,0.36,True,Man-in-the-Middle,f330230d50577be3f1f0d1bf29cbea6d80a26b1a,Flagged,Critical,Mark Craig,desktop-33.blair-pearson.biz,Segment B,Togo,False,Near ball sure hand several.,False,Server
2024-05-06 10:24:35,165.168.250.197,22.100.194.123,24621,21947,TCP,545,Response,Anomalous,Power wide realize.,False,0.31,True,Phishing,bdc8aab03b0cd34a2767e7840512b84c3d5ed837,Blocked,Low,Rhonda Anderson,web-97.jensen-watson.net,Segment C,Congo,True,Performance raise cold can themselves.,False,IDS
2024-06-29 01:40:52,173.107.68.146,111.92.27.128,48450,46273,HTTPS,244,Control,Malicious,Dinner relationship direction per none situation.,True,0.21,False,DoS,fb7152cb382cc70fe0398d412caa246f3d8b48d8,Flagged,High,Mr. Phillip Brown MD,srv-13.martinez.com,Segment A,Ukraine,True,Data wrong government later your possible.,False,Firewall
2024-06-24 15:10:28,212.36.37.70,112.37.99.115,21125,56571,HTTP,1013,Control,Anomalous,Mr marriage show society this.,True,0.33,False,Man-in-the-Middle,5dfc5bce6e3a84505988f80a553cf48fb127c876,Flagged,Medium,Michael Wilson,lt-49.davis.com,Segment A,British Virgin Islands,True,Now win beyond issue edge spring create.,True,Server
2024-02-16 00:46:06,38.230.159.125,5.251.31.232,49091,37084,SMTP,628,Request,Malicious,Would body gun share manager remember different.,True,0.93,False,Phishing,f276f33ba049c29c84f35883d415c57c721d127b,Flagged,Critical,James Estes,db-13.campbell-bradley.org,Segment C,Bhutan,True,Yes ask owner rate necessary.,True,Router
2024-06-21 19:10:01,120.45.253.166,36.232.190.88,23393,49825,FTP,191,Request,Malicious,Federal anyone town explain pressure remain.,True,0.35,True,DDoS,0ba9363a446c2c7163b8a90328d9aec13cf3eafe,Flagged,High,Benjamin White,desktop-24.luna.com,Segment B,Luxembourg,False,During century another bar worker turn.,False,IDS
2024-01-04 13:35:46,152.50.189.240,191.26.18.74,700,1683,ICMP,404,Request,Normal,Later argue be Congress director term.,False,0.39,False,Brute Force,7d7bda4c3eb8fb9b0c055c49e62875daec1197e2,Flagged,Low,Samuel Finley,desktop-18.johnson-jensen.org,Segment C,Mauritania,True,Want him law season break somebody.,False,IDS
2024-01-04 21:34:01,163.89.204.202,7.225.77.193,60919,37459,SMTP,692,Control,Malicious,Out sing Mr charge.,False,0.36,True,Man-in-the-Middle,e947f115ceb9a46e4633ca7fae7e733e8977447a,Quarantined,Critical,Alicia Coleman,db-00.luna-mejia.net,Segment B,Kiribati,True,Difficult painting hit power.,False,IDS
2024-05-23 01:05:23,58.93.15.108,187.181.11.78,53544,285,HTTPS,352,Request,Normal,Common month action.,False,0.61,True,DoS,fdf0c1fbf422de0228d759f06ef1c47332ec2f84,Quarantined,Critical,Carolyn Gray,web-85.fox-lee.com,Segment A,Somalia,True,Far accept determine study.,True,IPS
2024-05-27 18:51:12,189.249.43.114,26.120.187.37,28167,39820,SMTP,418,Response,Malicious,Find east edge her.,True,0.14,False,DDoS,9e4b5b6325e890f735538140c31637f700ff9666,Quarantined,Low,Jordan Mills,lt-28.brown.org,Segment A,Monaco,True,Report summer war often finish.,False,Firewall
2024-07-01 17:23:18,153.131.153.219,45.2.129.160,25189,12857,HTTP,1305,Control,Normal,Information my as although.,True,0.17,False,Ransomware,b52170f7fef9a81f556e1a4985db1798db01ce25,Allowed,Medium,Christopher Wolfe,email-87.peterson.com,Segment C,Bahrain,True,Republican beat hand ago remain.,True,Switch
2024-04-26 08:45:01,16.51.251.64,183.75.228.154,60096,63624,FTP,1082,Request,Malicious,Day same soldier at thus their billion visit.,True,0.34,True,SQL Injection,b314de52c687d3b23079fdb21b1deff30625db78,Flagged,Critical,Anthony Smith,desktop-16.malone.com,Segment C,Netherlands,True,Answer sell on trial experience.,False,Switch
2024-05-27 17:01:01,63.203.204.13,156.113.27.193,40048,54452,UDP,1031,Request,Anomalous,Ever image debate morning series how all.,True,0.32,True,Phishing,3fae67dcf6ce3af4d6d275254a68c6ef0c2b73ee,Flagged,Medium,Shelley Little,desktop-80.andrews.info,Segment C,Cayman Islands,False,Ahead night listen any.,True,IDS
2024-06-30 16:47:31,172.109.183.128,189.109.198.203,26148,3458,UDP,865,Control,Anomalous,Different fight edge where hold bank why.,True,0.77,False,Ransomware,6f1139b8143382499e5f5376765f9ac9cef471ed,Quarantined,Medium,George Rodriguez,db-91.dunn-hammond.com,Segment C,Saint Pierre and Miquelon,False,Ask which music center how prove.,True,IPS
2024-03-14 10:31:41,243.110.134.89,238.103.246.247,5953,28100,FTP,965,Response,Normal,Wish five recent collection establish teacher.,False,0.68,True,SQL Injection,b1e9345ddffa3db2586a72de1fb7e8eecd50a447,Blocked,Critical,Michael Cabrera,web-03.oconnell-buchanan.info,Segment B,Croatia,True,Seem assume issue. Job political successful.,False,IPS
2024-02-05 14:20:03,209.3.212.110,198.151.65.80,11139,44884,SMTP,758,Response,Anomalous,Against address itself sport.,True,0.28,False,Brute Force,8b1c6c7ec84fb702e76aa61139151fa23245863c,Allowed,Low,Jared Dyer,laptop-53.gutierrez.com,Segment A,New Caledonia,False,Officer media heavy audience could.,False,Switch
2024-04-12 03:22:45,209.4.114.120,182.197.202.156,49363,45824,SMTP,452,Error,Anomalous,Nearly take could personal peace.,False,0.07,True,DoS,7a50cb6aebfd959a3d04e57bc81d79692b5cda1e,Blocked,Low,Collin Stewart,db-72.thompson.org,Segment C,Guinea,True,Mr argue seem red yourself mouth address bring.,False,Router
2024-06-12 05:40:51,84.143.158.209,234.4.62.42,7050,51223,HTTPS,1176,Error,Anomalous,School yet mouth build bed beyond recently.,True,0.03,True,Phishing,6ffc74edbb6e2888d9cff767e70186562e388baa,Flagged,Critical,Deborah Lutz,desktop-79.howe-solis.net,Segment B,Maldives,True,Parent current hundred third.,True,IPS
2024-05-01 00:05:58,246.233.48.169,42.162.194.61,20829,3513,UDP,417,Request,Anomalous,Executive season kid woman.,False,0.16,True,DDoS,81ef7990f5ea94840a306e22e9bce5964a6c426f,Blocked,Critical,Emily Morales,lt-20.guerrero-hicks.biz,Segment B,Afghanistan,False,Project garden writer room.,False,Switch
2024-05-07 21:07:48,115.207.204.214,93.154.165.52,60681,36259,FTP,1213,Control,Anomalous,Public great surface same growth.,False,0.67,True,Ransomware,46df8f48da7f2686c0d9f467dcd54fe402c832b2,Allowed,Critical,David Tucker,srv-92.smith-gonzalez.com,Segment A,Tuvalu,False,Perhaps news maintain him recognize cause.,True,Server
2024-01-31 08:39:13,165.93.180.237,57.85.155.119,65510,61516,ICMP,552,Control,Normal,At nearly hospital him worry.,True,0.2,True,Man-in-the-Middle,94e63676a59570355e84e2d7a2e001c28326b807,Blocked,Critical,Tammy Moran,lt-80.turner.com,Segment C,Estonia,True,Like make question important.,True,Switch
2024-02-23 05:58:47,154.64.215.108,209.32.252.233,46349,2193,SMTP,225,Request,Malicious,Democrat instead toward drop someone same fast.,True,0.57,True,Brute Force,10b08e539226fe237e7c2e5097802663d2f71e93,Quarantined,Low,Michael Martinez,db-89.tyler.com,Segment C,Qatar,True,Tonight visit order speak hair score inside.,True,Router
2024-06-25 04:49:52,89.109.218.113,58.66.228.66,48477,40780,UDP,912,Error,Anomalous,Yet buy lead serious institution each.,True,0.12,True,DDoS,28c1aed693c2e021975d921f574378e06fd4547c,Blocked,High,Miranda Harper,desktop-71.pollard-stanley.net,Segment C,Cuba,False,The close consider staff.,False,IPS
2024-01-25 10:45:49,153.210.169.141,227.8.225.78,58054,50885,HTTP,793,Request,Malicious,National themselves event college.,True,0.3,False,Man-in-the-Middle,9eca4c48b5d7496674f6174f9e51fa21f1f79633,Allowed,Medium,Joseph Crawford,lt-56.williamson.com,Segment A,Malawi,True,Your born discover stay.,True,Router
2024-03-07 04:41:56,27.202.152.171,231.178.103.194,59553,63413,SMTP,414,Request,Anomalous,Service even edge after like.,False,0.45,False,DoS,b8a760f85d144127e75533c701f952229e9a93f1,Allowed,Low,Daniel Weeks,srv-95.rasmussen.com,Segment C,Croatia,True,Knowledge sure pattern early natural them early.,False,IDS
2024-05-10 09:14:58,24.193.170.239,168.171.174.133,31605,61921,SMTP,181,Request,Normal,Century small black. Next office nice.,True,0.83,False,SQL Injection,f965ddf40eb9e41bb4ec03a88f34d3573841efcc,Allowed,High,Jeffrey Lopez,laptop-57.gray.com,Segment B,Netherlands Antilles,True,Ahead out appear organization technology.,False,IDS
2024-01-22 02:07:54,109.97.115.78,151.181.12.213,56916,62431,UDP,1339,Error,Normal,Sing reason late month most hair.,True,0.65,False,SQL Injection,b4ccf958a4b1a5aeb8ac6d61428d7fa784899f47,Flagged,Critical,Melissa Crane,lt-98.diaz-mccarthy.com,Segment A,Russian Federation,True,Sport can management establish issue.,False,Firewall
2024-03-03 16:43:52,66.91.34.76,78.65.23.61,29991,402,TCP,1488,Response,Normal,Front score role brother soldier hotel.,False,0.4,False,Ransomware,97b667378d3561d862274ae87f53696766d1ea5b,Quarantined,High,Carol Sutton,desktop-63.harvey-hawkins.com,Segment A,Micronesia,True,Sister staff change inside what.,True,IPS
2024-02-21 13:25:32,80.152.246.125,27.165.116.185,22616,57962,HTTPS,481,Error,Malicious,Only important foot cell.,True,0.14,False,DDoS,67ad2e93c14e20afd4dc1cb69f771890fb93c20e,Blocked,High,Amanda Boyd,desktop-86.ward.com,Segment C,Thailand,False,Too wrong draw special most.,True,Server
2024-05-23 17:33:51,30.211.40.67,62.232.122.115,1625,48432,SMTP,242,Response,Anomalous,Question maintain sea owner person interest she.,False,0.53,False,Brute Force,1825fa6e85074ea2db644bd53dde3ea8a2a9e434,Blocked,Low,Nathan Fox,email-26.leon.com,Segment A,Madagascar,True,Society day send including force should only hit.,False,Router
2024-03-21 14:01:34,74.226.94.201,68.63.119.114,21753,15474,HTTPS,623,Error,Normal,Although teach military safe economy.,True,0.46,False,Brute Force,84b5873611edfce48c2227b5a75bd2934d8363a7,Allowed,Medium,Scott Walker,email-61.patel-cook.com,Segment C,Mauritius,False,Month quite join life possible at foreign.,True,Firewall
2024-04-25 12:24:25,93.185.209.107,19.253.225.7,63287,3030,HTTP,791,Response,Anomalous,Rock history institution yard decide.,True,0.48,False,Ransomware,077f0bdba924fddc705399ee44d07bb44a885dbd,Quarantined,Critical,Mike Carson,web-01.walker.com,Segment B,Faroe Islands,False,Population serious admit money forward fill.,False,Router
2024-02-10 14:14:16,49.90.139.77,34.249.237.168,45858,39476,HTTPS,919,Request,Normal,Cell cause four hear western.,True,0.64,True,Brute Force,c8c7b0303088ce29bca5bdc347ef94dc2ffc89d3,Blocked,Medium,Matthew Grant,web-42.johnson.net,Segment B,Northern Mariana Islands,True,Three happen area physical treat nature.,True,Firewall
2024-01-27 13:44:15,209.79.16.127,97.58.7.67,39251,50554,TCP,638,Response,Anomalous,Trial deep standard class.,True,0.25,False,Brute Force,4d62b0c1bb49559e66dc25bcc93750cddfd922fe,Quarantined,Critical,Ronald Perez,db-47.lewis.com,Segment C,Vanuatu,False,Writer region go discover charge.,False,Firewall
2024-05-21 23:42:52,49.95.114.74,128.122.113.74,44749,47404,SMTP,342,Control,Anomalous,Great month themselves evening.,True,0.28,True,Brute Force,ba7e0394dc863ca81e6612555da7ad4ee059e699,Blocked,Low,Nicole Evans,laptop-39.castro.com,Segment A,Jamaica,False,Seem east amount notice set approach right.,True,Switch
2024-04-21 23:30:19,74.43.252.98,38.113.134.217,61214,26679,UDP,1125,Control,Normal,Suffer in event blue.,True,0.39,True,Phishing,1e1b00e610cf332937a197b1cd3edd05c3650de3,Blocked,Critical,Vicki Scott,web-42.kirk.net,Segment C,Cape Verde,False,But get position.,False,IDS
